order_id,city,category,customer_type,order_time,distance_km,order_value,delivery_fee,rider_cost,dark_store_cost,discount,delivery_time,gross_margin,contribution_margin,peak_hour
1,Chennai,Groceries,Discount-Seeker,2025-03-23 04:18:00,0.78,556.59,33.44,36.64,38.53,61.42,13.06,93.74418095850143,-9.41,0
2,Pune,Groceries,Premium,2025-06-05 06:02:00,5.08,589.88,21.22,63.54,23.04,56.31,27.63,125.45367975870704,3.78,0
3,Mumbai,Groceries,Premium,2025-02-26 02:07:00,4.55,574.73,21.45,63.81,48.23,0.64,19.84,90.00968988210847,-1.22,0
4,Hyderabad,Groceries,Regular,2025-01-23 18:38:00,2.26,419.96,37.76,52.14,40.46,3.17,15.97,67.79223351680136,9.78,0
5,Chennai,Beauty,Discount-Seeker,2025-05-06 16:17:00,5.84,324.27,40.76,71.86,45.38,51.73,24.87,61.53843575817724,-66.67,0
6,Hyderabad,Groceries,Discount-Seeker,2025-03-04 19:40:00,1.0,212.13,22.7,50.21,42.91,43.78,16.78,41.16122826821253,-73.04,1
7,Chennai,Electronics,Regular,2025-05-24 19:12:00,5.13,389.49,37.79,75.18,25.06,24.42,18.93,77.08380683484549,-9.79,1
8,Chennai,Groceries,Premium,2025-01-06 11:57:00,4.12,562.9,25.37,66.77,42.36,8.95,16.47,93.5836303237668,0.87,0
9,Bangalore,Groceries,Discount-Seeker,2025-06-13 14:34:00,1.87,575.54,28.89,49.83,48.62,68.12,15.18,133.98247488418954,-3.7,1
10,Bangalore,Cafe,Discount-Seeker,2025-03-04 11:40:00,1.23,405.63,16.28,42.28,39.8,16.35,19.61,60.92995773261791,-21.22,0
11,Pune,Electronics,Discount-Seeker,2025-02-24 12:17:00,0.96,553.94,30.6,42.25,33.01,42.37,15.08,85.86813571109911,-1.16,1
12,Bangalore,Beauty,Premium,2025-02-25 17:00:00,1.01,423.63,35.63,49.91,46.44,58.15,14.49,96.77239430410229,-22.1,0
13,Pune,Groceries,Discount-Seeker,2025-02-24 17:02:00,4.26,628.82,31.26,69.55,43.35,17.68,18.73,113.84392907749944,14.52,0
